code,company,name,gender,age,age_group,company_frequency
0,4You,Roy Braun,male,21,Young Adult,453
1,4You,Joseph Holsten,male,37,Middle Age,453
2,4You,Wilma Mcinnis,female,48,Middle Age,453
3,4You,Paula Daniel,female,23,Young Adult,453
4,4You,Patricia Carson,female,44,Middle Age,453
5,4You,Trina Thomas,none,47,Middle Age,453
6,4You,Jesse Decelle,male,46,Middle Age,453
7,4You,Gregoria Gil,female,21,Young Adult,453
8,4You,Jack Sabo,none,41,Middle Age,453
9,4You,Debbie Helms,none,35,Adult,453
10,4You,Melvin Lovejoy,male,36,Middle Age,453
11,4You,Virginia Roberts,female,61,Senior,453
12,4You,David Thomas,male,53,Senior,453
13,4You,Irene Tucker,none,36,Middle Age,453
14,4You,John Cody,male,37,Middle Age,453
15,4You,Janice Cudney,female,56,Senior,453
16,4You,Shane Hubner,female,47,Middle Age,453
17,4You,Victor Tribbett,none,25,Young Adult,453
18,4You,Tanya Orourke,none,65,Senior,453
19,4You,John Bennett,male,22,Young Adult,453
20,4You,Sally Roberts,female,65,Senior,453
21,4You,Julia Meinhart,female,56,Senior,453
22,4You,Michele Ashford,female,51,Senior,453
23,4You,Leslie Sandoval,male,35,Adult,453
24,4You,Calvin Cuellar,male,60,Senior,453
25,4You,Elizabeth Smith,female,64,Senior,453
26,4You,Yolanda Connolly,female,49,Middle Age,453
27,4You,Sean Pearson,male,62,Senior,453
28,4You,April Miller,female,46,Middle Age,453
29,4You,Lisa Natera,female,35,Adult,453
30,4You,Alberta Bornhorst,female,59,Senior,453
31,4You,Christopher Elliott,none,40,Middle Age,453
32,4You,Wesley Locker,male,44,Middle Age,453
33,4You,Ida Turzak,female,56,Senior,453
34,4You,Anita Petersen,female,21,Young Adult,453
35,4You,Helen Selby,none,34,Adult,453
36,4You,Anna Rodriguez,none,56,Senior,453
37,4You,Denise Newton,none,27,Adult,453
38,4You,Nancy Dowdy,female,47,Middle Age,453
39,4You,Billie Dwight,female,48,Middle Age,453
40,4You,Carlos Campbell,none,42,Middle Age,453
41,4You,Sandra Bissonnette,female,62,Senior,453
42,4You,Robert Collins,male,61,Senior,453
43,4You,Louise James,female,24,Young Adult,453
44,4You,David Brisco,male,21,Young Adult,453
45,4You,Margaret Paul,female,54,Senior,453
46,4You,Bobby Garcia,male,42,Middle Age,453
47,4You,Kevin Lindholm,male,28,Adult,453
48,4You,Clyde Ruiz,male,46,Middle Age,453
49,4You,Charles Wilenkin,male,55,Senior,453
50,4You,Monique Williams,female,56,Senior,453
51,4You,Jenell Torbus,female,39,Middle Age,453
